molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,pChEMBL_value
CHEMBL21799,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,active,53.0,7.28
CHEMBL22148,CCc1nc(N)nc(N)c1-c1ccccc1,active,3.0,8.52
CHEMBL161451,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,intermediate,3300.0,5.48
CHEMBL329687,NC1=NC(c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,active,11.7,7.93
CHEMBL351099,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,active,220.0,6.66
CHEMBL161117,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,active,60.0,7.22
CHEMBL346932,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1,active,3.6,8.44
CHEMBL158639,CCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,active,9.7,8.01
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,intermediate,2427.0,5.62
CHEMBL13636,CC1N=C(N)N=C(N)N1c1cccc(Cl)c1,active,39.0,7.41
CHEMBL348151,NC1=NC(c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,active,4.8,8.32
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,intermediate,5800.0,5.24
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,intermediate,3690.0,5.43
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,active,30.0,7.52
CHEMBL115483,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,active,256.9,6.59
CHEMBL22146,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,active,2.2,8.66
CHEMBL22146,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,intermediate,1974.1,5.71
CHEMBL22811,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,inactive,27760.0,4.56
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,active,2.2,8.66
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,active,119.3,6.92
CHEMBL6741,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,intermediate,1947.0,5.71
CHEMBL21690,Nc1ncc(-c2ccccc2)c(N)n1,active,81.0,7.09
CHEMBL19633,COc1ccc(Cc2cnc(N)nc2N)cc1OC,inactive,13858.0,4.86
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,active,15.1,7.82
CHEMBL162126,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,active,3.4,8.47
CHEMBL162126,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,active,14.0,7.85
CHEMBL93889,NC1=NC(c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,active,4.5,8.35
CHEMBL30937,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,active,17.8,7.75
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,10.0,8.0
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,active,127.0,6.9
CHEMBL161034,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,active,40.0,7.4
CHEMBL278847,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,active,0.3,9.52
CHEMBL21395,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,active,70.0,7.16
CHEMBL119189,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC,active,1.6,8.8
CHEMBL419055,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,intermediate,2400.0,5.62
CHEMBL352195,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,active,1.4,8.85
